code,mets,major_heading,activity,flag,mhn,reason
2060.0,5.5,conditioning exercise,"health club exercise, general (Taylor Code 160)",,2,Involves social connection or group belonging.
2061.0,5.0,conditioning exercise,"health club exercise classes, general, gym/weight training combined in one visit",,"1,3,4","Related to maintaining safety, stability, or health security."
2062.0,7.8,conditioning exercise,"health club exercise, conditioning classes",,1,Involves social connection or group belonging.
2064.0,3.8,conditioning exercise,"home exercise, general",,"1,4",General physical activity contributing to health and body needs.
2065.0,9.0,conditioning exercise,"stair-treadmill ergometer, general",,1,General physical activity contributing to health and body needs.
2068.0,12.3,conditioning exercise,"rope skipping, general",,1,General physical activity contributing to health and body needs.
2070.0,6.0,conditioning exercise,"rowing, stationary ergometer, general, vigorous effort",,1,General physical activity contributing to health and body needs.
2071.0,4.8,conditioning exercise,"rowing, stationary, general, moderate effort",,1,General physical activity contributing to health and body needs.
2072.0,7.0,conditioning exercise,"rowing, stationary, 100 watts, moderate effort",,1,General physical activity contributing to health and body needs.
2073.0,8.5,conditioning exercise,"rowing, stationary, 150 watts, vigorous effort",,1,General physical activity contributing to health and body needs.
2074.0,12.0,conditioning exercise,"rowing, stationary, 200 watts, very vigorous effort",,"1,4",General physical activity contributing to health and body needs.
2080.0,6.8,conditioning exercise,"ski machine, general",,2,General physical activity contributing to health and body needs.
2085.0,11.0,conditioning exercise,"slide board exercise, general",,1,General physical activity contributing to health and body needs.
2090.0,6.0,conditioning exercise,"slimnastics, jazzercise",,1,General physical activity contributing to health and body needs.
2101.0,2.3,conditioning exercise,"stretching, mild",,1,Supports basic physical functioning and body maintenance.
2105.0,3.0,conditioning exercise,"pilates, general",,1,General physical activity contributing to health and body needs.
2110.0,6.8,conditioning exercise,"teaching exercise class (e.g., aerobic, water)",,1,General physical activity contributing to health and body needs.
2112.0,2.8,conditioning exercise,"therapeutic exercise ball, Fitball exercise",,1,General physical activity contributing to health and body needs.
2115.0,2.8,conditioning exercise,"upper body exercise, arm ergometer",,1,General physical activity contributing to health and body needs.
2117.0,4.3,conditioning exercise,"upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate",,1,General physical activity contributing to health and body needs.
2120.0,5.3,conditioning exercise,"water aerobics, water calisthenics, water exercise",,1,General physical activity contributing to health and body needs.
2135.0,1.3,conditioning exercise,"whirlpool, sitting",,1,General physical activity contributing to health and body needs.
2140.0,2.3,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., yoga, stretching), light effort",,1,Supports basic physical functioning and body maintenance.
2143.0,4.0,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., cardio-resistance), moderate effort",,1,"Related to maintaining safety, stability, or health security."
2146.0,6.0,conditioning exercise,"video exercise workouts, TV conditioning programs (e.g., cardio-resistance), vigorous effort",,"2,4","Related to maintaining safety, stability, or health security."
2150.0,2.5,conditioning exercise,"yoga, Hatha",,1,Supports basic physical functioning and body maintenance.
2160.0,4.0,conditioning exercise,"yoga, Power",,1,Supports basic physical functioning and body maintenance.
2170.0,2.0,conditioning exercise,"yoga, Nadisodhana",,1,Supports basic physical functioning and body maintenance.
2180.0,3.3,conditioning exercise,"yoga, Surya Namaskar",,1,Supports basic physical functioning and body maintenance.
2200.0,5.3,conditioning exercise,"native New Zealander physical activities (e.g., Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.), general, moderate effort",,1,Supports basic physical functioning and body maintenance.
2205.0,6.8,conditioning exercise,"native New Zealander physical activities (e.g., Haka, Taiahab), general, vigorous effort",,1,General physical activity contributing to health and body needs.
3010.0,5.0,dancing,"ballet, modern, or jazz, general, rehearsal or class",,"3,4,5",General physical activity contributing to health and body needs.
3012.0,6.8,dancing,"ballet, modern, or jazz, performance, vigorous effort",,"3,4,5","Involves achievement, recognition, or building self-esteem."
3014.0,4.8,dancing,tap,,5,General physical activity contributing to health and body needs.
3015.0,7.3,dancing,"aerobic, general",,1,General physical activity contributing to health and body needs.
3016.0,7.5,dancing,"aerobic, step, with 6 - 8 inch step",,"1,5",General physical activity contributing to health and body needs.
3017.0,9.5,dancing,"aerobic, step, with 10 - 12 inch step",,"1,5",General physical activity contributing to health and body needs.
3018.0,5.5,dancing,"aerobic, step, with 4-inch step",,5,General physical activity contributing to health and body needs.
3019.0,8.5,dancing,"bench step class, general",,"1,3,4,5",General physical activity contributing to health and body needs.
3020.0,5.0,dancing,"aerobic, low impact",,"1,3,4,5",General physical activity contributing to health and body needs.
3021.0,7.3,dancing,"aerobic, high impact",,"1,3",General physical activity contributing to health and body needs.
3022.0,10.0,dancing,aerobic dance wearing 10-15 lb weights,,1,Involves social connection or group belonging.
3025.0,4.5,dancing,"ethnic or cultural dancing (e.g., Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)",,"3,4,5",General physical activity contributing to health and body needs.
3030.0,5.5,dancing,"ballroom, fast (Taylor Code 125)",,"3,4,5",General physical activity contributing to health and body needs.
3031.0,7.8,dancing,"general dancing (e.g., disco, folk, Irish step dancing, line dancing, polka, contra, country)",,"3,5",General physical activity contributing to health and body needs.
3038.0,11.3,dancing,"ballroom dancing, competitive, general",,"3,4,5","Involves achievement, recognition, or building self-esteem."
3040.0,3.0,dancing,"ballroom, slow (e.g., waltz, foxtrot, slow dancing, samba, tango, 19th century dance, mambo, cha cha)",,"3,4,5",Supports basic physical functioning and body maintenance.
3050.0,5.5,dancing,Anishinaabe Jingle Dancing,,"3,5",General physical activity contributing to health and body needs.
3060.0,3.5,dancing,"Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)",,"3,4,5",Involves social connection or group belonging.
4001.0,3.5,fishing and hunting,"fishing, general",,1,General physical activity contributing to health and body needs.
4005.0,4.5,fishing and hunting,"fishing, crab fishing",,1,General physical activity contributing to health and body needs.
4007.0,4.0,fishing and hunting,"fishing, catching fish with hands",,1,General physical activity contributing to health and body needs.
4010.0,4.3,fishing and hunting,"fishing related, digging worms, with shovel",,1,General physical activity contributing to health and body needs.
4020.0,4.0,fishing and hunting,fishing from river bank and walking,,1,General physical activity contributing to health and body needs.
4030.0,2.0,fishing and hunting,"fishing from boat or canoe, sitting",,1,General physical activity contributing to health and body needs.
4040.0,3.5,fishing and hunting,"fishing from river bank, standing (Taylor Code 660)",,1,General physical activity contributing to health and body needs.
4050.0,6.0,fishing and hunting,"fishing in stream, in waders (Taylor Code 670)",,"1,3,4,5",General physical activity contributing to health and body needs.
4060.0,2.0,fishing and hunting,"fishing, ice, sitting",,1,General physical activity contributing to health and body needs.
4061.0,1.8,fishing and hunting,"fishing, jog or line, standing, general",,1,General physical activity contributing to health and body needs.
4062.0,3.5,fishing and hunting,"fishing, dip net, setting net and retrieving fish, general",,1,General physical activity contributing to health and body needs.
4063.0,3.8,fishing and hunting,"fishing, set net, setting net and retrieving fish, general",,1,General physical activity contributing to health and body needs.
4064.0,3.0,fishing and hunting,"fishing, fishing wheel, setting net and retrieving fish, general",,1,General physical activity contributing to health and body needs.
4065.0,2.3,fishing and hunting,"fishing with a spear, standing",,1,General physical activity contributing to health and body needs.
4070.0,2.5,fishing and hunting,"hunting, bow and arrow, or crossbow",,1,General physical activity contributing to health and body needs.
4080.0,6.0,fishing and hunting,"hunting, deer, elk, large game (Taylor Code 170)",,"1,3,4",General physical activity contributing to health and body needs.
4081.0,11.3,fishing and hunting,"hunting large game, dragging carcass",,1,General physical activity contributing to health and body needs.
4083.0,4.0,fishing and hunting,hunting large marine animals,,1,General physical activity contributing to health and body needs.
4085.0,2.5,fishing and hunting,"hunting large game, from a hunting stand, limited walking",,"1,4",General physical activity contributing to health and body needs.
4086.0,2.0,fishing and hunting,"hunting large game from a car, plane, or boat",,4,General physical activity contributing to health and body needs.
4090.0,2.5,fishing and hunting,"hunting, duck, wading",,1,General physical activity contributing to health and body needs.
4095.0,3.0,fishing and hunting,"hunting, flying fox, squirrel",,1,General physical activity contributing to health and body needs.
4100.0,5.0,fishing and hunting,"hunting, general",,1,General physical activity contributing to health and body needs.
4110.0,6.0,fishing and hunting,"hunting, pheasants or grouse (Taylor Code 680)",,1,General physical activity contributing to health and body needs.
4115.0,3.3,fishing and hunting,"hunting, birds",,1,General physical activity contributing to health and body needs.
4120.0,5.0,fishing and hunting,"hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)",,1,General physical activity contributing to health and body needs.
4123.0,3.3,fishing and hunting,"hunting, pigs, wild",,1,General physical activity contributing to health and body needs.
4124.0,2.0,fishing and hunting,"trapping game, general",,1,General physical activity contributing to health and body needs.
4125.0,9.5,fishing and hunting,"hunting, hiking with hunting gear",,1,General physical activity contributing to health and body needs.
4130.0,2.5,fishing and hunting,"pistol shooting or trap shooting, standing",,1,General physical activity contributing to health and body needs.
4140.0,2.3,fishing and hunting,"rifle exercises, shooting, lying down",,1,General physical activity contributing to health and body needs.
4145.0,2.5,fishing and hunting,"rifle exercises, shooting, kneeling or standing",,1,General physical activity contributing to health and body needs.
5010.0,3.3,home activities,"cleaning, sweeping carpet or floors, general",,2,General physical activity contributing to health and body needs.
5011.0,2.3,home activities,"cleaning, sweeping, slow, light effort",,"1,2",Supports basic physical functioning and body maintenance.
5012.0,3.8,home activities,"cleaning, sweeping, slow, moderate effort",,2,Supports basic physical functioning and body maintenance.
5020.0,3.5,home activities,"cleaning, heavy or major (e.g. wash car, wash windows, clean garage), moderate effort",,2,General physical activity contributing to health and body needs.
5021.0,3.5,home activities,"cleaning, mopping, standing, moderate effort",,2,General physical activity contributing to health and body needs.
5022.0,3.2,home activities,"cleaning windows, washing windows, general",,"2,4",General physical activity contributing to health and body needs.
5023.0,2.5,home activities,"mopping, standing, light effort",,2,Supports basic physical functioning and body maintenance.
5024.0,4.5,home activities,"polishing floors, standing, walking slowly, using electric polishing machine",,2,Supports basic physical functioning and body maintenance.
5025.0,2.8,home activities,"multiple household tasks all at once, light effort",,"1,2,4",Supports basic physical functioning and body maintenance.
5026.0,3.5,home activities,"multiple household tasks all at once, moderate effort",,2,General physical activity contributing to health and body needs.
5027.0,4.3,home activities,"multiple household tasks all at once, vigorous effort",,"1,2",General physical activity contributing to health and body needs.
5030.0,3.3,home activities,"cleaning, house or cabin, general, moderate effort",,2,General physical activity contributing to health and body needs.
5032.0,2.3,home activities,"dusting or polishing furniture, general",,2,General physical activity contributing to health and body needs.
5035.0,3.3,home activities,"kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort",,"1,2,3",General physical activity contributing to health and body needs.
5040.0,2.5,home activities,"cleaning, general (straightening up, changing linen, carrying out trash, light effort",,"1,2,4",Supports basic physical functioning and body maintenance.
5041.0,1.8,home activities,"wash dishes, standing or in general (not broken into stand/walk components)",,2,General physical activity contributing to health and body needs.
5042.0,2.5,home activities,"wash dishes, clearing dishes from table, walking, light effort",,"1,2,3",Supports basic physical functioning and body maintenance.
5043.0,3.3,home activities,"vacuuming, general, moderate effort",,2,General physical activity contributing to health and body needs.
5044.0,3.0,home activities,"butchering animals, small",,1,General physical activity contributing to health and body needs.
5045.0,6.0,home activities,"butchering animal, large, vigorous effort",,1,General physical activity contributing to health and body needs.
5046.0,2.3,home activities,"cutting and smoking fish, drying fish or meat",,1,Supports basic physical functioning and body maintenance.
5048.0,4.0,home activities,"tanning hides, general",,1,General physical activity contributing to health and body needs.
5049.0,3.5,home activities,"cooking or food preparation, moderate effort",,"1,3",General physical activity contributing to health and body needs.
5050.0,2.0,home activities,"cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances, light effort",,1,Supports basic physical functioning and body maintenance.
5051.0,2.5,home activities,"serving food, setting table, implied walking or standing",,"1,3",General physical activity contributing to health and body needs.
5052.0,2.5,home activities,"cooking or food preparation, walking",,1,General physical activity contributing to health and body needs.
5053.0,2.5,home activities,feeding household animals,,3,General physical activity contributing to health and body needs.
5055.0,2.5,home activities,"putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages",,1,General physical activity contributing to health and body needs.
5056.0,7.5,home activities,carrying groceries upstairs,,1,General physical activity contributing to health and body needs.
5057.0,3.0,home activities,cooking Indian bread on an outside stove,,1,General physical activity contributing to health and body needs.
5060.0,2.3,home activities,"food shopping with or without a grocery cart, standing or walking",,1,General physical activity contributing to health and body needs.
5065.0,2.3,home activities,"non-food shopping, with or without a cart, standing or walking",,2,General physical activity contributing to health and body needs.
5070.0,1.8,home activities,ironing,,4,General physical activity contributing to health and body needs.
5080.0,1.3,home activities,"knitting, sewing, light effort, wrapping presents, sitting",,"3,4",Supports basic physical functioning and body maintenance.
5082.0,2.8,home activities,sewing with a machine,,5,General physical activity contributing to health and body needs.
5090.0,2.0,home activities,"laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort",,1,Supports basic physical functioning and body maintenance.
5092.0,4.0,home activities,"laundry, hanging wash, washing clothes by hand, moderate effort",,1,General physical activity contributing to health and body needs.
5095.0,2.3,home activities,"laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking",,"1,2",General physical activity contributing to health and body needs.
5100.0,3.3,home activities,"making bed, changing linens",,1,General physical activity contributing to health and body needs.
5110.0,5.0,home activities,"maple syruping/sugar bushing (including carrying buckets, carrying wood)",,"1,3",General physical activity contributing to health and body needs.
5120.0,5.8,home activities,"moving furniture, household items, carrying boxes",,"2,4",General physical activity contributing to health and body needs.
5121.0,5.0,home activities,"moving, lifting light loads",,2,Supports basic physical functioning and body maintenance.
5125.0,4.8,home activities,organizing room,,2,General physical activity contributing to health and body needs.
5130.0,3.5,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort",,2,General physical activity contributing to health and body needs.
5131.0,2.0,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort",,"1,2",Supports basic physical functioning and body maintenance.
5132.0,6.5,home activities,"scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort",,"1,2",General physical activity contributing to health and body needs.
5140.0,4.0,home activities,"sweeping garage, sidewalk or outside of house",,"2,4",General physical activity contributing to health and body needs.
5146.0,3.5,home activities,"standing, packing/unpacking boxes, occasional lifting of lightweight household items, loading or unloading items in car, moderate effort",,2,Supports basic physical functioning and body maintenance.
5147.0,3.0,home activities,"implied walking, putting away household items, moderate effort",,"2,4",General physical activity contributing to health and body needs.
5148.0,2.5,home activities,watering plants,,"4,5",General physical activity contributing to health and body needs.
5149.0,2.5,home activities,building a fire inside,,1,General physical activity contributing to health and body needs.
5150.0,9.0,home activities,"moving household items upstairs, carrying boxes or furniture",,2,General physical activity contributing to health and body needs.
5160.0,2.0,home activities,"standing, light effort tasks (pump gas, change light bulb, etc.)",,2,Supports basic physical functioning and body maintenance.
5165.0,3.5,home activities,"walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.)",,2,General physical activity contributing to health and body needs.
5170.0,2.2,home activities,"sitting, playing with child(ren), light effort, only active periods",,3,Supports basic physical functioning and body maintenance.
5171.0,2.8,home activities,"standing, playing with child(ren) light effort, only active periods",,3,Supports basic physical functioning and body maintenance.
5175.0,3.5,home activities,"walking/running, playing with child(ren), moderate effort, only active periods",,3,General physical activity contributing to health and body needs.
5180.0,5.8,home activities,"walking/running, playing with child(ren), vigorous effort, only active periods",,3,General physical activity contributing to health and body needs.
5181.0,3.0,home activities,"walking and carrying small child, child weighing 15 lbs or more",,"2,3",General physical activity contributing to health and body needs.
5182.0,2.3,home activities,"walking and carrying small child, child weighing less than 15 lbs",,3,General physical activity contributing to health and body needs.
5183.0,2.0,home activities,"standing, holding child",,3,General physical activity contributing to health and body needs.
5184.0,2.5,home activities,"child care, infant, general",,"3,4,5",General physical activity contributing to health and body needs.
5185.0,2.0,home activities,"child care, sitting/kneeling (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), light effort, general",,3,Supports basic physical functioning and body maintenance.
5186.0,3.0,home activities,"child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort",,3,General physical activity contributing to health and body needs.
5188.0,1.5,home activities,reclining with baby,,3,General physical activity contributing to health and body needs.
5189.0,2.0,home activities,"breastfeeding, sitting or reclining",,"1,3",General physical activity contributing to health and body needs.
5190.0,2.5,home activities,"sit, playing with animals, light effort, only active periods",,3,Supports basic physical functioning and body maintenance.
5191.0,2.8,home activities,"stand, playing with animals, light effort, only active periods",,3,Supports basic physical functioning and body maintenance.
5192.0,3.0,home activities,"walk/run, playing with animals, general, light effort, only active periods",,3,Supports basic physical functioning and body maintenance.
5193.0,4.0,home activities,"walk/run, playing with animals, moderate effort, only active periods",,3,General physical activity contributing to health and body needs.
5194.0,5.0,home activities,"walk/run, playing with animals, vigorous effort, only active periods",,"1,3",General physical activity contributing to health and body needs.
5195.0,3.5,home activities,"standing, bathing dog",,"2,3",General physical activity contributing to health and body needs.
5197.0,2.3,home activities,"animal care, household animals, general",,"3,4",General physical activity contributing to health and body needs.
5200.0,4.0,home activities,"elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods",,"1,2,3",General physical activity contributing to health and body needs.
5205.0,2.3,home activities,"elder care, disabled adult, feeding, combing hair, light effort, only active periods",,1,Supports basic physical functioning and body maintenance.
6010.0,3.0,home repair,airplane repair,,2,General physical activity contributing to health and body needs.
6020.0,4.0,home repair,automobile body work,,2,"Related to maintaining safety, stability, or health security."
6030.0,3.3,home repair,"automobile repair, light or moderate effort",,2,Supports basic physical functioning and body maintenance.
6040.0,3.0,home repair,"carpentry, general, workshop (Taylor Code 620)",,2,"Related to maintaining safety, stability, or health security."
6050.0,6.0,home repair,"carpentry, outside house, installing rain gutters (Taylor Code 640),carpentry, outside house, building a fence",,2,General physical activity contributing to health and body needs.
6052.0,3.8,home repair,"carpentry, outside house, building a fence",,"2,4",General physical activity contributing to health and body needs.
6060.0,3.3,home repair,"carpentry, finishing or refinishing cabinets or furniture",,"2,4",General physical activity contributing to health and body needs.
6070.0,6.0,home repair,"carpentry, sawing hardwood",,"2,4",General physical activity contributing to health and body needs.
6072.0,4.0,home repair,"carpentry, home remodeling tasks, moderate effort",,"2,4",General physical activity contributing to health and body needs.
6074.0,2.3,home repair,"carpentry, home remodeling tasks, light effort",,2,Supports basic physical functioning and body maintenance.
6080.0,5.0,home repair,"caulking, chinking log cabin",,2,General physical activity contributing to health and body needs.
6090.0,4.5,home repair,"caulking, except log cabin",,2,General physical activity contributing to health and body needs.
6100.0,5.0,home repair,cleaning gutters,,2,General physical activity contributing to health and body needs.
6110.0,5.0,home repair,excavating garage,,2,General physical activity contributing to health and body needs.
6120.0,5.0,home repair,hanging storm windows,,2,General physical activity contributing to health and body needs.
6122.0,5.0,home repair,hanging sheet rock inside house,,2,General physical activity contributing to health and body needs.
6124.0,3.0,home repair,hammering nails,,2,General physical activity contributing to health and body needs.
6126.0,2.5,home repair,"home repair, general, light effort",,2,Supports basic physical functioning and body maintenance.
6127.0,4.5,home repair,"home repair, general, moderate effort",,2,General physical activity contributing to health and body needs.
6128.0,6.0,home repair,"home repair, general, vigorous effort",,2,General physical activity contributing to health and body needs.
6130.0,4.5,home repair,laying or removing carpet,,2,General physical activity contributing to health and body needs.
6140.0,3.8,home repair,"laying tile or linoleum,repairing appliances",,2,General physical activity contributing to health and body needs.
6144.0,3.0,home repair,repairing appliances,,2,General physical activity contributing to health and body needs.
6150.0,5.0,home repair,"painting, outside home (Taylor Code 650)",,2,General physical activity contributing to health and body needs.
6160.0,3.3,home repair,"painting inside house,wallpapering, scraping paint",,"2,4,5",General physical activity contributing to health and body needs.
6165.0,4.5,home repair,"painting, (Taylor Code 630)",,2,General physical activity contributing to health and body needs.
6167.0,3.0,home repair,"plumbing, general",,2,General physical activity contributing to health and body needs.
6170.0,3.0,home repair,put on and removal of tarp - sailboat,,2,General physical activity contributing to health and body needs.
6180.0,6.0,home repair,roofing,,2,General physical activity contributing to health and body needs.
6190.0,4.5,home repair,sanding floors with a power sander,,2,General physical activity contributing to health and body needs.
6200.0,4.5,home repair,scraping and painting sailboat or powerboat,,2,General physical activity contributing to health and body needs.
6205.0,2.0,home repair,sharpening tools,,2,General physical activity contributing to health and body needs.
6210.0,5.0,home repair,spreading dirt with a shovel,,2,General physical activity contributing to health and body needs.
6220.0,4.5,home repair,washing and waxing hull of sailboat or airplane,,2,General physical activity contributing to health and body needs.
6225.0,2.0,home repair,washing and waxing car,,2,General physical activity contributing to health and body needs.
6230.0,4.5,home repair,"washing fence, painting fence, moderate effort",,"2,4",General physical activity contributing to health and body needs.
6240.0,3.3,home repair,"wiring, tapping-splicing",,2,General physical activity contributing to health and body needs.
7010.0,1.0,inactivity quiet/light,lying quietly and watching television,,1,General physical activity contributing to health and body needs.
7011.0,1.3,inactivity quiet/light,"lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)",,1,General physical activity contributing to health and body needs.
7020.0,1.3,inactivity quiet/light,sitting quietly and watching television,,1,General physical activity contributing to health and body needs.
7021.0,1.3,inactivity quiet/light,"sitting quietly, general",,1,General physical activity contributing to health and body needs.
7022.0,1.5,inactivity quiet/light,"sitting quietly, fidgeting, general, fidgeting hands",,1,General physical activity contributing to health and body needs.
7023.0,1.8,inactivity quiet/light,"sitting, fidgeting feet",,1,General physical activity contributing to health and body needs.
7024.0,1.3,inactivity quiet/light,"sitting, smoking",,1,General physical activity contributing to health and body needs.
7025.0,1.5,inactivity quiet/light,"sitting, listening to music (not talking or reading) or watching a movie in a theater",,5,Supports basic physical functioning and body maintenance.
7026.0,1.3,inactivity quiet/light,"sitting at a desk, resting head in hands",,1,Supports basic physical functioning and body maintenance.
7030.0,1.0,inactivity quiet/light,sleeping,,1,Supports basic physical functioning and body maintenance.
7040.0,1.3,inactivity quiet/light,"standing quietly, standing in a line",,1,General physical activity contributing to health and body needs.
7041.0,1.8,inactivity quiet/light,"standing, fidgeting",,1,General physical activity contributing to health and body needs.
7050.0,1.3,inactivity quiet/light,"reclining, writing",,"1,5",General physical activity contributing to health and body needs.
7060.0,1.3,inactivity quiet/light,"reclining, talking or talking on phone",,"1,3",General physical activity contributing to health and body needs.
7070.0,1.3,inactivity quiet/light,"reclining, reading",,1,General physical activity contributing to health and body needs.
7075.0,1.0,inactivity quiet/light,meditating,,1,General physical activity contributing to health and body needs.
8009.0,3.3,lawn and garden,"carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to-moderate effort",,2,Supports basic physical functioning and body maintenance.
8010.0,5.5,lawn and garden,"carrying, loading or stacking wood, loading/unloading or carrying lumber",,2,General physical activity contributing to health and body needs.
